noise,blur_sigma,downsample,ls_psnr,ls_ssim,tv_psnr,tv_ssim
0.005,0.5,2,10.706180495021304,0.20537911496435332,13.867089397859448,0.3893447204449244
0.005,0.5,3,8.513770845172441,0.07294412419238419,9.832581569616208,0.1448026606524682
0.005,1.0,2,25.060709601441502,0.8318277787268502,14.778696944551688,0.45822944282777
0.005,1.0,3,18.526948142814298,0.48841455152948193,10.592562018376396,0.2143940055835656
0.005,1.5,2,22.101804812740134,0.6552040985329212,14.653236105722227,0.39876381946970124
0.005,1.5,3,23.21362605808933,0.7040982849968725,10.7864172427536,0.21785349792991252
0.01,0.5,2,10.704780194571944,0.20475382090763602,13.863644921250692,0.3881710824814567
0.01,0.5,3,8.513188825052556,0.07290988085720272,9.830862521268465,0.14466372668836183
0.01,1.0,2,24.442102990579016,0.7948212683470146,14.766885355372445,0.4557486758899885
0.01,1.0,3,18.498174121542597,0.4848958498396798,10.593553294311073,0.2143635115226995
0.01,1.5,2,17.851635737715185,0.45151968297080014,14.65484578186347,0.39919404377499607
0.01,1.5,3,22.824360166756374,0.6726915336160695,10.781501300683987,0.21813689764972388
0.02,0.5,2,10.694339743681748,0.20330144182906315,13.847016839218265,0.38773602477223007
0.02,0.5,3,8.511604550153425,0.0727376861269224,9.826284929763784,0.14550693181760332
0.02,1.0,2,22.739257409806658,0.7021546965922727,14.760320806713274,0.4519915804467082
0.02,1.0,3,18.381148906789054,0.4706512055067771,10.595858840928434,0.21282933692760342
0.02,1.5,2,13.221192169713095,0.24482740688504565,14.64346175088136,0.39628436875917566
0.02,1.5,3,21.496070808422843,0.5878383335028959,10.782596319152638,0.21765761190792224
