image,ls_psnr,ls_ssim,tv_psnr,tv_ssim
test001,24.454712429336126,0.7968438827815383,16.868601009432066,0.4703458253841125
test002,26.628995172799637,0.7746795054462065,15.206551968310496,0.6117320150446378
test003,26.210705018257457,0.7420273344844652,17.61578592010024,0.6438835060164433
test004,27.468048898100577,0.818612929805012,19.700791568253944,0.5858340738113137
test005,24.86801994544833,0.8065368465071074,14.481959346103679,0.5475953387051641
test006,27.698496223579046,0.7721423298184071,15.526334018053598,0.7131297674180754
test007,24.419592972802832,0.7622020603772037,18.65890443870043,0.4511283021955388
test008,24.60828418597817,0.7289832076660986,19.25540446341798,0.47172206767965624
test009,25.45745886442741,0.7774261866166319,19.10886192962472,0.5574278617807858
test010,26.910040130701827,0.7648142367537321,19.27270129190226,0.574005038147319
test011,22.028438643872164,0.787783017746375,14.366675739171553,0.41369802135340816
test012,25.249587450634998,0.7247893285077367,19.03293475254231,0.44714543398636647
test013,26.8270832127441,0.8034669739894771,17.88010144120802,0.5315926936515688
test014,27.097764744966824,0.7057217214706043,18.71494323442694,0.6428067143038325
test015,25.261200561012494,0.7693220419031827,18.014410217991028,0.5773735679814186
test016,21.897032587560652,0.7766929053188619,15.694831443055214,0.3596680939820316
test017,29.559189293581202,0.7328014504589947,20.71492073972791,0.7278444493709999
test018,28.94356690252261,0.7240164264570046,20.01971949266136,0.712729009481448
test019,24.62149783691459,0.74137685912277,15.82858745320404,0.5302777055786132
test020,25.2297237427238,0.7429929588813995,16.856877112435196,0.6407300441972086
test021,21.590163915683664,0.7612758280702472,14.623263841914751,0.385283653326503
test022,23.26123726582687,0.7578924499948686,16.813449282954117,0.3988923182158805
test023,24.477774118916443,0.79295012375024,15.071171295448881,0.4685803644783495
test024,23.68015859912491,0.8360596795979857,15.556419090117306,0.4789588986936572
test025,24.76907720212186,0.7199616867301045,18.307002619069035,0.6254917581242139
test026,25.447888759038367,0.7952980646616795,16.684446421308095,0.5135894566456561
test027,27.37213018456689,0.7979113621853975,20.411657956227206,0.6152786108537341
test028,26.828879018653645,0.6937023002662573,14.669907881971014,0.7064899488355825
test029,22.42577002420733,0.73916244543256,15.74351884742778,0.42892537226228483
test030,26.73459439825081,0.7640956062788493,18.261853727820846,0.5587137735696399
test031,23.485903509350706,0.688802933918592,18.201686287358328,0.3543019255627398
test032,23.690579666421456,0.7842988721832125,17.435660280948074,0.37145316776822596
test033,24.10998181673905,0.6914791196434966,16.50550819918915,0.5536793425615367
test034,26.52893820939731,0.7432118364607525,15.678844985096024,0.6713446445983783
test035,25.311568051315177,0.7816753780924323,18.117829165665302,0.5283941279350135
test036,28.15308320898216,0.5896893124196461,18.76154750722645,0.6761477209294244
test037,26.550459163656047,0.7318915558763167,16.74062133870562,0.5857430196395381
test038,26.264672011780576,0.7520196255710946,18.560427565640005,0.540278647030328
test039,25.685004339256988,0.829608639339283,17.25606947607333,0.5396569894782539
test040,24.498584579094192,0.7463345699641536,16.00014808075496,0.5268134006469497
test041,25.1038329896749,0.7734993570389112,17.651151421699062,0.5291400278248521
test042,26.063751011951034,0.7239115836238451,17.481879666481873,0.61418601004117
test043,24.383356983132053,0.8177244352220335,16.67189322715347,0.4865255066875691
test044,25.532218312549155,0.7199305288415543,16.673377804378188,0.4943197144627216
test045,29.267568305262756,0.6938866057188656,19.680624358418445,0.7413226689184774
test046,22.336897017207285,0.7338775838754052,15.684748571064313,0.4151860754313129
test047,24.845336673648532,0.7704766969652274,18.115077365941335,0.42417581509321417
test048,22.19453411126624,0.7927844775329114,14.515459658438042,0.44290947300001865
test049,28.63824996563093,0.7411883167413911,16.51551206549597,0.6912972823829551
test050,25.270679539467857,0.7861827421774229,15.53657350580906,0.5169518204102844
test051,22.831470550986026,0.7064190134521535,17.574583216217142,0.5178371858161432
test052,28.24938436502308,0.7180754537805535,15.609652987479308,0.7022116841961634
test053,27.8366993685135,0.6607152222960064,16.743685521023266,0.6815909084824415
test054,24.820521342841747,0.7908845203639566,16.09262356948285,0.48497788221295546
test055,23.980046584669573,0.779902765487822,16.920997771183764,0.44782895187069577
test056,23.682628830019294,0.7258768535855616,16.212490467623994,0.42627249973606457
test057,27.368303396956662,0.7163545784526208,20.302675619516933,0.627694826994744
test058,28.430446417160823,0.6722769164653281,18.561562060588994,0.7403213062392271
test059,27.842006120488282,0.7440692832549792,19.08627685320881,0.6498274057195641
test060,28.72745958434229,0.6917277220151047,20.29116109983272,0.7187959187106316
test061,27.30107671619313,0.6923141574667423,18.91320240781959,0.6686223780735401
test062,23.34956541458833,0.7530345407864482,17.246503314153966,0.656099592869516
test063,23.944522687126497,0.7998260411252918,17.171464530404393,0.4120666424251235
test064,25.213859888433333,0.7811635303187408,17.175217840254046,0.4925219877155364
test065,26.371964424736106,0.7986779547937453,17.204396183594575,0.5660888631091813
test066,28.963543588196924,0.6613729973923084,19.22135002193723,0.8326888921232314
test067,20.821521511758508,0.7958978352979631,14.65262536027802,0.3173649379357497
test068,24.299895236521152,0.7662379666951714,14.881906900087783,0.5153767663337252
